# Threatbase Threat Intelligence Feed - Spam IPs
# Last update: Fri, 04 Sep 2026 18:20:27 +0000
# Count: 12559
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
3.249.161.77,2,MEDIUM,Brute-Force|Spam,2026-09-04,2026-09-04,blocklist_de|blocklist_de_mail
4.249.16.120,8,HIGH,Brute-Force|Compromised|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|cins_army|firehol_level2|firehol_level3|ipsum|romainmarcoux_outgoing_aa
5.11.162.163,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
5.32.61.6,6,HIGH,Brute-Force|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum
5.32.99.14,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.32.107.6,6,HIGH,Brute-Force|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum
5.140.212.144,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
5.140.212.184,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
5.167.64.0,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.1,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.2,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.3,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.4,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.5,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.6,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.7,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.8,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.9,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.10,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.11,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.12,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.13,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.14,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.15,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.16,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.17,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.18,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.19,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.20,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.21,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.22,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.23,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.24,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.25,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.26,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.27,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.28,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.29,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.30,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.31,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.32,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.33,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.34,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.35,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.36,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.37,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.38,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.39,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.40,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.41,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.42,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.43,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.44,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.45,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.46,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.47,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.48,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.49,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.50,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.51,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.52,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.53,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.54,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.55,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.56,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.57,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.58,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.59,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.60,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.61,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.62,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.63,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.64,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.65,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.66,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.67,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.68,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.69,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.70,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.71,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.72,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.73,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.74,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.75,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.76,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.77,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.78,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.79,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.80,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.81,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.82,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.83,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.84,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.85,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.86,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.87,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.88,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.89,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.90,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.91,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.92,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.93,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.94,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.95,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.96,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.97,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.98,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.99,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.100,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.101,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.102,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.103,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.104,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.105,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.106,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.107,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.108,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.109,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.110,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.111,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.112,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.113,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.114,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.115,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
5.167.64.116,5,HIGH,Brute-Force|Exploit|Spam,2026-09-02,2026-09-04,blocklist_de|blocklist_de_apache|blocklist_de_mail|ipsum
