# Threatbase Threat Intelligence Feed - Brute-Force IPs
# Last update: Sat, 05 Sep 2026 06:52:29 +0000
# Count: 31352
# Format: IP,FeedCount,RiskScore,Tags,FirstSeen,LastSeen,Sources
2.13.76.52,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-03,2026-09-05,blocklist_de|blocklist_de_apache|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.26.21.52,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.48.33,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.49.187,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.50.70,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.50.151,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.51.2,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.51.175,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.52.174,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.53.142,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.81.183,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.86.177,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum
2.26.86.249,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.98.173,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.105.167,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.115.54,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.26.136.243,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|greensnow|ipsum
2.26.201.104,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.1.15,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.25.146,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.36.16,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.27.42.28,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.42.164,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.52.247,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.53.177,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.53.183,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.62.118,6,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.27.121.23,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.27.205.59,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.27.249.79,6,HIGH,Brute-Force|Malicious|Spam,2026-09-03,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.29.16.86,6,HIGH,Brute-Force|Malicious,2026-09-04,2026-09-05,abuseipdb|blocklist_de|blocklist_de_ssh|ipsum|romainmarcoux_outgoing_aa
2.32.12.48,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.33.204.219,5,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|ipsum
2.48.94.112,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.49.14.29,5,HIGH,Brute-Force|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_de_ssh|ipsum|romainmarcoux_outgoing_aa
2.49.147.81,5,HIGH,Brute-Force|Exploit|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_de_apache|ipsum|romainmarcoux_outgoing_aa
2.49.165.8,4,HIGH,Botnet|Brute-Force,2026-09-05,2026-09-05,blocklist_de|blocklist_net_bots|ipsum
2.50.2.186,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.50.12.39,3,HIGH,Brute-Force,2026-09-05,2026-09-05,blocklist_de|blocklist_de_ssh
2.50.26.191,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.50.43.134,3,HIGH,Brute-Force,2026-09-02,2026-09-05,greensnow|ipsum
2.50.155.88,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.50.165.47,4,HIGH,Brute-Force,2026-09-02,2026-09-05,firehol_level2|greensnow|ipsum
2.50.172.187,5,HIGH,Brute-Force|Malicious,2026-09-03,2026-09-05,firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_aa
2.50.174.6,6,HIGH,Botnet|Brute-Force|Malicious,2026-09-04,2026-09-05,blocklist_de|blocklist_net_bots|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.50.254.187,6,HIGH,Brute-Force|Exploit|Malicious,2026-09-02,2026-09-05,blocklist_de|blocklist_de_apache|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.54.85.220,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,abuseipdb|blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.54.105.5,5,HIGH,Brute-Force|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum
2.55.74.30,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.55.85.4,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
2.55.100.104,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.55.122.202,7,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_aa
2.55.125.200,6,HIGH,Brute-Force|Malicious|Spam,2026-09-02,2026-09-05,blocklist_de|blocklist_de_mail|firehol_level2|ipsum|romainmarcoux_outgoing_aa
2.57.121.17,5,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|firehol_level2|ipsum
2.57.121.25,11,HIGH,Brute-Force|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|greensnow|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
2.57.121.50,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.121.69,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.121.86,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
2.57.121.112,15,HIGH,Brute-Force|Compromised|Malicious,2026-09-02,2026-09-05,abuseipdb|binary_defense|blocklist_de|blocklist_de_ssh|blocklist_net_strongips|bruteforceblocker|criticalpath_security|emerging_threats|firehol_level2|firehol_level3|greensnow|ipsum|romainmarcoux_outgoing_40k|romainmarcoux_outgoing_aa
2.57.121.118,6,HIGH,Brute-Force,2026-09-02,2026-09-05,blocklist_de|blocklist_de_ssh|blocklist_net_strongips|firehol_level2|ipsum
